+0.111111	-0.988785	+4.938165	+4.938249	-1.295113	-15.736567758158431
+0.112676	-1.013368	+4.952080	+4.952162	-1.319615	-15.67966422998524
+0.114241	-1.037861	+4.966013	+4.966096	-1.344029	-15.622916769241225
+0.115806	-1.062266	+4.979966	+4.980048	-1.368354	-15.566324858027313
+0.117371	-1.086582	+4.993938	+4.994020	-1.392591	-15.50988798007517
+0.118936	-1.110810	+5.007930	+5.008012	-1.416740	-15.453605620742088
+0.120501	-1.134950	+5.021941	+5.022022	-1.440802	-15.397477267006277
+0.122066	-1.159002	+5.035971	+5.036052	-1.464776	-15.341502407461885
+0.123631	-1.182967	+5.050020	+5.050101	-1.488663	-15.285680532314187
+0.125196	-1.206845	+5.064089	+5.064169	-1.512462	-15.23001113337489
+0.126761	-1.230636	+5.078176	+5.078257	-1.536175	-15.174493704057115
+0.128326	-1.254339	+5.092284	+5.092364	-1.559802	-15.119127739370617
+0.129890	-1.277957	+5.106410	+5.106490	-1.583342	-15.063912735916846
+0.131455	-1.301488	+5.120556	+5.120635	-1.606796	-15.008848191884459
+0.133020	-1.324933	+5.134720	+5.134800	-1.630164	-14.953933607044574
+0.134585	-1.348292	+5.148904	+5.148984	-1.653447	-14.899168482745592
+0.136150	-1.371566	+5.163108	+5.163187	-1.676644	-14.844552321908653
+0.137715	-1.394754	+5.177330	+5.177409	-1.699757	-14.790084629023172
+0.139280	-1.417857	+5.191572	+5.191650	-1.722784	-14.735764910142075
+0.140845	-1.440875	+5.205832	+5.205911	-1.745727	-14.681592672876636
+0.142410	-1.463809	+5.220112	+5.220190	-1.768585	-14.627567426392135
+0.143975	-1.486658	+5.234411	+5.234489	-1.791359	-14.5736886814034
+0.145540	-1.509423	+5.248730	+5.248807	-1.814049	-14.519955950169829
+0.147105	-1.532104	+5.263067	+5.263144	-1.836656	-14.466368746491
+0.148670	-1.554701	+5.277424	+5.277501	-1.859179	-14.412926585702133
+0.150235	-1.577215	+5.291799	+5.291876	-1.881618	-14.359628984668973
+0.151800	-1.599645	+5.306194	+5.306271	-1.903975	-14.306475461783325
+0.153365	-1.621992	+5.320608	+5.320684	-1.926248	-14.253465536959158
+0.154930	-1.644257	+5.335041	+5.335117	-1.948440	-14.200598731627414
+0.156495	-1.666439	+5.349493	+5.349569	-1.970548	-14.147874568731405
+0.158059	-1.688538	+5.363964	+5.364039	-1.992575	-14.095292572722698
+0.159624	-1.710555	+5.378454	+5.378529	-2.014519	-14.042852269556503
+0.161189	-1.732491	+5.392963	+5.393038	-2.036382	-13.990553186686988
+0.162754	-1.754344	+5.407491	+5.407566	-2.058164	-13.938394853062883
+0.164319	-1.776116	+5.422038	+5.422113	-2.079864	-13.886376799122937
+0.165884	-1.797807	+5.436605	+5.436679	-2.101483	-13.83449855679174
+0.167449	-1.819417	+5.451190	+5.451264	-2.123021	-13.7827596594751
+0.169014	-1.840946	+5.465794	+5.465868	-2.144478	-13.731159642055301
+0.170579	-1.862394	+5.480417	+5.480491	-2.165855	-13.67969804088719
+0.172144	-1.883762	+5.495059	+5.495133	-2.187152	-13.628374393793651
+0.173709	-1.905049	+5.509720	+5.509793	-2.208369	-13.577188240061192
+0.175274	-1.926257	+5.524400	+5.524473	-2.229506	-13.526139120435552
+0.176839	-1.947384	+5.539099	+5.539172	-2.250564	-13.475226577117237
+0.178404	-1.968433	+5.553817	+5.553889	-2.271542	-13.424450153757114
+0.179969	-1.989402	+5.568553	+5.568626	-2.292441	-13.373809395452371
+0.181534	-2.010291	+5.583309	+5.583381	-2.313261	-13.32330384874233
+0.183099	-2.031102	+5.598083	+5.598155	-2.334002	-13.272933061603835
+0.184664	-2.051834	+5.612877	+5.612948	-2.354665	-13.222696583446858
+0.186228	-2.072488	+5.627689	+5.627760	-2.375250	-13.172593965110375
+0.187793	-2.093063	+5.642520	+5.642591	-2.395756	-13.122624758858334
+0.189358	-2.113560	+5.657369	+5.657440	-2.416185	-13.072788518375392
+0.190923	-2.133979	+5.672238	+5.672309	-2.436536	-13.023084798762229
+0.192488	-2.154321	+5.687125	+5.687196	-2.456809	-12.973513156531723
+0.194053	-2.174585	+5.702031	+5.702101	-2.477006	-12.924073149604839
+0.195618	-2.194772	+5.716956	+5.717026	-2.497125	-12.874764337305791
+0.197183	-2.214881	+5.731900	+5.731969	-2.517167	-12.825586280358651
+0.198748	-2.234914	+5.746862	+5.746931	-2.537133	-12.776538540882942
+0.200313	-2.254871	+5.761843	+5.761912	-2.557022	-12.72762068238939
+0.201878	-2.274750	+5.776843	+5.776912	-2.576835	-12.678832269775791
+0.203443	-2.294554	+5.791861	+5.791930	-2.596572	-12.630172869322639
+0.205008	-2.314282	+5.806898	+5.806967	-2.616233	-12.581642048689554
+0.206573	-2.333933	+5.821954	+5.822022	-2.635819	-12.533239376911329
+0.208138	-2.353509	+5.837028	+5.837096	-2.655329	-12.48496442439309
+0.209703	-2.373010	+5.852121	+5.852189	-2.674763	-12.43681676290633
+0.211268	-2.392435	+5.867233	+5.867300	-2.694123	-12.388795965585652
+0.212833	-2.411785	+5.882363	+5.882430	-2.713408	-12.340901606923932
+0.214397	-2.431061	+5.897511	+5.897579	-2.732618	-12.293133262768498
+0.215962	-2.450261	+5.912679	+5.912746	-2.751754	-12.245490510317863
+0.217527	-2.469388	+5.927864	+5.927932	-2.770816	-12.197972928116046
+0.219092	-2.488440	+5.943069	+5.943136	-2.789803	-12.15058009605017
+0.220657	-2.507418	+5.958292	+5.958358	-2.808717	-12.103311595346051
+0.222222	-2.526322	+5.973533	+5.973599	-2.827557	-12.056167008563527
+0.223787	-2.545152	+5.988793	+5.988859	-2.846323	-12.009145919593752
+0.225352	-2.563909	+6.004071	+6.004137	-2.865016	-11.962247913654098
+0.226917	-2.582593	+6.019368	+6.019434	-2.883636	-11.915472577285167
+0.228482	-2.601203	+6.034683	+6.034748	-2.902183	-11.868819498345971
+0.230047	-2.619741	+6.050016	+6.050082	-2.920658	-11.82228826601067
+0.231612	-2.638206	+6.065368	+6.065433	-2.939060	-11.775878470764596
+0.233177	-2.656598	+6.080739	+6.080804	-2.957389	-11.72958970440028
+0.234742	-2.674918	+6.096127	+6.096192	-2.975647	-11.683421560014049
+0.236307	-2.693166	+6.111534	+6.111599	-2.993832	-11.63737363200092
